species,class,order,maximum_lifespan_yr,mass_g,volancy,fossoriallity,foraging_environment,daily_activity
Hippolais_icterina,Aves,Passeriformes,10.8,13.2,volant,nonfossorial,arboreal,diurnal
Locustella_fluviatilis,Aves,Passeriformes,6.9,16.1,volant,nonfossorial,terrestrial,diurnal
Phylloscopus_collybita,Aves,Passeriformes,8,8.3,volant,nonfossorial,semiarboreal,diurnal
Phylloscopus_sibilatrix,Aves,Passeriformes,10.2,9.2,volant,nonfossorial,semiarboreal,diurnal
Sylvia_curruca,Aves,Passeriformes,9,11.4,volant,nonfossorial,arboreal,diurnal
Troglodytes_troglodytes,Aves,Passeriformes,7,9.1,volant,nonfossorial,semiarboreal,diurnal
Zoothera_naevia,Aves,Passeriformes,5.6,78.5,volant,nonfossorial,semiarboreal,crepuscular
Turdus_iliacus,Aves,Passeriformes,18.8,61.2,volant,nonfossorial,terrestrial,diurnal
Turdus_merula,Aves,Passeriformes,21.8,103.2,volant,nonfossorial,terrestrial,diurnal
Turdus_pilaris,Aves,Passeriformes,18.1,106,volant,nonfossorial,semiarboreal,diurnal
Turdus_torquatus,Aves,Passeriformes,9.1,109,volant,nonfossorial,semiarboreal,diurnal
Camptostoma_imberbe,Aves,Passeriformes,5.8,7.4,volant,nonfossorial,arboreal,diurnal
Contopus_cooperi,Aves,Passeriformes,11.1,32.8,volant,nonfossorial,volant,diurnal
Contopus_sordidulus,Aves,Passeriformes,8.1,12.8,volant,nonfossorial,volant,diurnal
Contopus_virens,Aves,Passeriformes,8.2,13.9,volant,nonfossorial,volant,diurnal
Elaenia_martinica,Aves,Passeriformes,13.6,20.9,volant,nonfossorial,arboreal,diurnal
Empidonax_alnorum,Aves,Passeriformes,9.1,13.5,volant,nonfossorial,volant,diurnal
Empidonax_difficilis,Aves,Passeriformes,6.9,11,volant,nonfossorial,volant,diurnal
Empidonax_hammondii,Aves,Passeriformes,7,10.4,volant,nonfossorial,arboreal,diurnal
Empidonax_minimus,Aves,Passeriformes,8,10,volant,nonfossorial,volant,diurnal
Empidonax_oberholseri,Aves,Passeriformes,9,10.95,volant,nonfossorial,volant,diurnal
Empidonax_traillii,Aves,Passeriformes,11,12.6,volant,nonfossorial,volant,diurnal
Empidonax_virescens,Aves,Passeriformes,12.1,12.6,volant,nonfossorial,arboreal,diurnal
Myiarchus_antillarum,Aves,Passeriformes,13.6,23.4,volant,nonfossorial,arboreal,diurnal
Myiarchus_cinerascens,Aves,Passeriformes,11.9,28.5,volant,nonfossorial,arboreal,diurnal
Myiarchus_crinitus,Aves,Passeriformes,14.9,32.1,volant,nonfossorial,volant,diurnal
Myiarchus_tyrannulus,Aves,Passeriformes,11,35,volant,nonfossorial,arboreal,diurnal
Pyrocephalus_rubinus,Aves,Passeriformes,5.5,12.87,volant,nonfossorial,volant,diurnal
Sayornis_nigricans,Aves,Passeriformes,8,18.25,volant,nonfossorial,volant,diurnal
Sayornis_phoebe,Aves,Passeriformes,10.3,19.7,volant,nonfossorial,volant,diurnal
Tyrannus_tyrannus,Aves,Passeriformes,11.1,39.9,volant,nonfossorial,volant,diurnal
Vireo_solitarius,Aves,Passeriformes,7.4,16,volant,nonfossorial,arboreal,diurnal
Zosterops_japonicus,Aves,Passeriformes,5.1,11.25,volant,nonfossorial,semiarboreal,diurnal
Zosterops_lateralis,Aves,Passeriformes,13,12.7,volant,nonfossorial,semiarboreal,diurnal
Casmerodius_albus,Aves,Pelecaniformes,22.8,873.5,volant,nonfossorial,terrestrial,diurnal
Ardea_cinerea,Aves,Pelecaniformes,37.5,1443,volant,nonfossorial,terrestrial,cathemeral
Ardea_goliath,Aves,Pelecaniformes,22.9,4468,volant,nonfossorial,terrestrial,diurnal
Ardea_herodias,Aves,Pelecaniformes,24.5,1870,volant,nonfossorial,terrestrial,cathemeral
Ardea_purpurea,Aves,Pelecaniformes,25.4,1065.5,volant,nonfossorial,terrestrial,diurnal
Botaurus_lentiginosus,Aves,Pelecaniformes,8.3,706,volant,nonfossorial,terrestrial,nocturnal
Botaurus_stellaris,Aves,Pelecaniformes,11.3,1324.5,volant,nonfossorial,terrestrial,nocturnal
Bubulcus_ibis,Aves,Pelecaniformes,23,390,volant,nonfossorial,terrestrial,diurnal
Butorides_virescens,Aves,Pelecaniformes,11.6,175,volant,nonfossorial,terrestrial,nocturnal
Egretta_caerulea,Aves,Pelecaniformes,13.9,339.5,volant,nonfossorial,terrestrial,diurnal
Egretta_garzetta,Aves,Pelecaniformes,22.3,312,volant,nonfossorial,terrestrial,diurnal
Egretta_rufescens,Aves,Pelecaniformes,22,614,volant,nonfossorial,terrestrial,diurnal
Egretta_thula,Aves,Pelecaniformes,22.8,314,volant,nonfossorial,terrestrial,diurnal
Egretta_tricolor,Aves,Pelecaniformes,17.7,309.9,volant,nonfossorial,terrestrial,diurnal
Ixobrychus_minutus,Aves,Pelecaniformes,6.9,101,volant,nonfossorial,terrestrial,diurnal
Nycticorax_nycticorax,Aves,Pelecaniformes,21.1,800,volant,nonfossorial,terrestrial,nocturnal
Balaeniceps_rex,Aves,Pelecaniformes,35.7,5984,volant,nonfossorial,aquatic,diurnal
Pelecanus_crispus,Aves,Pelecaniformes,35.3,9550,volant,nonfossorial,aquatic,diurnal
Pelecanus_erythrorhynchos,Aves,Pelecaniformes,54,6129,volant,nonfossorial,aquatic,diurnal
Pelecanus_occidentalis,Aves,Pelecaniformes,43,3115.8,volant,nonfossorial,aquatic,diurnal
Pelecanus_onocrotalus,Aves,Pelecaniformes,51,9520,volant,nonfossorial,aquatic,diurnal
Geronticus_eremita,Aves,Pelecaniformes,32.9,1202,volant,nonfossorial,terrestrial,diurnal
Platalea_leucorodia,Aves,Pelecaniformes,30.1,1868,volant,nonfossorial,terrestrial,cathemeral
Platalea_minor,Aves,Pelecaniformes,15,1228,volant,nonfossorial,terrestrial,crepuscular
Threskiornis_aethiopicus,Aves,Pelecaniformes,37,1530,volant,nonfossorial,terrestrial,diurnal
Phaethon_aethereus,Aves,Phaethontiformes,17.6,750,volant,nonfossorial,aquatic,diurnal
Phaethon_rubricauda,Aves,Phaethontiformes,32.7,593.2,volant,nonfossorial,aquatic,diurnal
Phoeniconaias_minor,Aves,Phoenicopteriformes,41,1500,volant,nonfossorial,aquatic,cathemeral
Phoenicopterus_roseus,Aves,Phoenicopteriformes,44,2500,volant,nonfossorial,aquatic,cathemeral
Colaptes_auratus,Aves,Piciformes,12.5,120,volant,nonfossorial,semiarboreal,diurnal
Dendrocopos_leucotos,Aves,Piciformes,15.9,117,volant,nonfossorial,arboreal,diurnal
Dendrocopos_major,Aves,Piciformes,12.7,75.1,volant,nonfossorial,arboreal,diurnal
Dendrocopos_medius,Aves,Piciformes,8,59,volant,nonfossorial,arboreal,diurnal
Dendrocopos_minor,Aves,Piciformes,9.8,19.8,volant,nonfossorial,arboreal,diurnal
Dendrocopos_syriacus,Aves,Piciformes,10.9,76.8,volant,nonfossorial,semiarboreal,diurnal
Dryocopus_martius,Aves,Piciformes,14,321,volant,nonfossorial,semiarboreal,diurnal
Melanerpes_uropygialis,Aves,Piciformes,11,65,volant,nonfossorial,semiarboreal,diurnal
Picoides_borealis,Aves,Piciformes,16.1,56,volant,nonfossorial,arboreal,diurnal
Picoides_nuttallii,Aves,Piciformes,7.8,37.4,volant,nonfossorial,arboreal,diurnal
Picoides_pubescens,Aves,Piciformes,11.9,25.6,volant,nonfossorial,arboreal,diurnal
Picoides_tridactylus,Aves,Piciformes,11.2,65.7,volant,nonfossorial,semiarboreal,diurnal
Picoides_villosus,Aves,Piciformes,15.9,62,volant,nonfossorial,arboreal,diurnal
Picus_viridis,Aves,Piciformes,15.2,176,volant,nonfossorial,terrestrial,diurnal
Sphyrapicus_nuchalis,Aves,Piciformes,4.9,48.5,volant,nonfossorial,arboreal,diurnal
Sphyrapicus_ruber,Aves,Piciformes,4.8,55,volant,nonfossorial,arboreal,diurnal
Sphyrapicus_varius,Aves,Piciformes,7.8,45,volant,nonfossorial,arboreal,diurnal
Ramphastos_toco,Aves,Piciformes,16.2,540,volant,nonfossorial,arboreal,diurnal
Aechmophorus_occidentalis,Aves,Podicipediformes,14,1475.5,volant,nonfossorial,aquatic,diurnal
Podiceps_cristatus,Aves,Podicipediformes,19.2,738.7,volant,nonfossorial,aquatic,diurnal
Podiceps_nigricollis,Aves,Podicipediformes,13.1,392,volant,nonfossorial,aquatic,diurnal
Tachybaptus_ruficollis,Aves,Podicipediformes,17.5,174,volant,nonfossorial,aquatic,diurnal
Diomedea_epomophora,Aves,Procellariiformes,58,9000,volant,nonfossorial,aquatic,nocturnal
Diomedea_exulans,Aves,Procellariiformes,50,7046.7,volant,nonfossorial,aquatic,nocturnal
Phoebastria_immutabilis,Aves,Procellariiformes,60,3150,volant,nonfossorial,aquatic,cathemeral
Phoebastria_irrorata,Aves,Procellariiformes,40,3395,volant,nonfossorial,aquatic,nocturnal
Phoebastria_nigripes,Aves,Procellariiformes,42.1,2800,volant,nonfossorial,aquatic,cathemeral
Thalassarche_chlororhynchos,Aves,Procellariiformes,37,3890,volant,nonfossorial,aquatic,cathemeral
Thalassarche_chrysostoma,Aves,Procellariiformes,47.2,3753,volant,nonfossorial,aquatic,cathemeral
Thalassarche_melanophrys,Aves,Procellariiformes,43.7,3232,volant,nonfossorial,aquatic,cathemeral
Oceanodroma_castro,Aves,Procellariiformes,36,42,volant,nonfossorial,aquatic,diurnal
Oceanodroma_leucorhoa,Aves,Procellariiformes,36,44.6,volant,nonfossorial,aquatic,cathemeral
Bulweria_bulwerii,Aves,Procellariiformes,22.9,99,volant,nonfossorial,aquatic,nocturnal
Calonectris_diomedea,Aves,Procellariiformes,24.8,535,volant,nonfossorial,aquatic,nocturnal
Daption_capense,Aves,Procellariiformes,25,408.6,volant,nonfossorial,aquatic,cathemeral
Fulmarus_glacialis,Aves,Procellariiformes,51,908,volant,nonfossorial,aquatic,cathemeral
Pterodroma_hypoleuca,Aves,Procellariiformes,30.8,168.6,volant,nonfossorial,aquatic,nocturnal
Puffinus_carneipes,Aves,Procellariiformes,30.2,690,volant,nonfossorial,aquatic,cathemeral
Puffinus_pacificus,Aves,Procellariiformes,29,337.8,volant,nonfossorial,aquatic,cathemeral
Puffinus_puffinus,Aves,Procellariiformes,50.9,434,volant,nonfossorial,aquatic,diurnal
Agapornis_lilianae,Aves,Psittaciformes,19.2,37.3,volant,nonfossorial,semiarboreal,diurnal
Agapornis_pullarius,Aves,Psittaciformes,18,43,volant,nonfossorial,semiarboreal,diurnal
Alisterus_scapularis,Aves,Psittaciformes,26.6,232.5,volant,nonfossorial,semiarboreal,diurnal
Amazona_aestiva,Aves,Psittaciformes,49,451,volant,nonfossorial,arboreal,diurnal
Amazona_albifrons,Aves,Psittaciformes,25.3,215,volant,nonfossorial,arboreal,diurnal
Amazona_amazonica,Aves,Psittaciformes,30,370,volant,nonfossorial,arboreal,diurnal
Amazona_autumnalis,Aves,Psittaciformes,27,416,volant,nonfossorial,arboreal,diurnal
Amazona_festiva,Aves,Psittaciformes,24.5,430,volant,nonfossorial,arboreal,diurnal
Amazona_finschi,Aves,Psittaciformes,25.8,302,volant,nonfossorial,semiarboreal,diurnal
Anodorhynchus_leari,Aves,Psittaciformes,38.3,940,volant,nonfossorial,semiarboreal,diurnal
Aprosmictus_erythropterus,Aves,Psittaciformes,24.4,136,volant,nonfossorial,semiarboreal,diurnal
Ara_ambiguus,Aves,Psittaciformes,29,1300,volant,nonfossorial,arboreal,diurnal
Ara_ararauna,Aves,Psittaciformes,43,1030,volant,nonfossorial,arboreal,diurnal
Ara_chloropterus,Aves,Psittaciformes,50.1,1220,volant,nonfossorial,arboreal,diurnal
Ara_glaucogularis,Aves,Psittaciformes,22,784,volant,nonfossorial,arboreal,diurnal
Ara_macao,Aves,Psittaciformes,33,1040,volant,nonfossorial,arboreal,diurnal
Ara_militaris,Aves,Psittaciformes,46,1134,volant,nonfossorial,arboreal,diurnal
Ara_rubrogenys,Aves,Psittaciformes,23,470,volant,nonfossorial,semiarboreal,diurnal
Ara_severus,Aves,Psittaciformes,28.5,343,volant,nonfossorial,arboreal,diurnal
Aratinga_acuticaudata,Aves,Psittaciformes,31,171,volant,nonfossorial,semiarboreal,diurnal
Aratinga_auricapillus,Aves,Psittaciformes,20.9,130,volant,nonfossorial,semiarboreal,diurnal
Aratinga_canicularis,Aves,Psittaciformes,16.2,85,volant,nonfossorial,arboreal,diurnal
Aratinga_erythrogenys,Aves,Psittaciformes,26.2,151,volant,nonfossorial,arboreal,diurnal
Aratinga_holochlora,Aves,Psittaciformes,21.8,138,volant,nonfossorial,arboreal,diurnal
Barnardius_zonarius,Aves,Psittaciformes,17.9,150,volant,nonfossorial,semiarboreal,diurnal
Bolborhynchus_orbygnesius,Aves,Psittaciformes,9.2,43.1,volant,nonfossorial,semiarboreal,diurnal
Brotogeris_chiriri,Aves,Psittaciformes,19,61.6,volant,nonfossorial,arboreal,diurnal
Brotogeris_pyrrhoptera,Aves,Psittaciformes,11.3,64,volant,nonfossorial,arboreal,diurnal
Brotogeris_sanctithomae,Aves,Psittaciformes,13.2,59,volant,nonfossorial,arboreal,diurnal
Brotogeris_tirica,Aves,Psittaciformes,11,63,volant,nonfossorial,arboreal,diurnal
Brotogeris_versicolurus,Aves,Psittaciformes,10.3,71.6,volant,nonfossorial,arboreal,diurnal
Cacatua_alba,Aves,Psittaciformes,26.9,570,volant,nonfossorial,arboreal,diurnal
Cacatua_ducorpsii,Aves,Psittaciformes,30.5,394,volant,nonfossorial,semiarboreal,diurnal
Cacatua_galerita,Aves,Psittaciformes,57,800,volant,nonfossorial,semiarboreal,diurnal
Cacatua_leadbeateri,Aves,Psittaciformes,77,390,volant,nonfossorial,semiarboreal,diurnal
Cacatua_moluccensis,Aves,Psittaciformes,65.8,830,volant,nonfossorial,arboreal,diurnal
Cacatua_ophthalmica,Aves,Psittaciformes,31.9,492,volant,nonfossorial,arboreal,diurnal
Cacatua_pastinator,Aves,Psittaciformes,26.3,637,volant,nonfossorial,terrestrial,diurnal
Cacatua_sanguinea,Aves,Psittaciformes,46.9,350,volant,nonfossorial,semiarboreal,diurnal
Cacatua_sulphurea,Aves,Psittaciformes,49.7,340,volant,nonfossorial,arboreal,diurnal
Cacatua_tenuirostris,Aves,Psittaciformes,43,567,volant,nonfossorial,terrestrial,diurnal
Callocephalon_fimbriatum,Aves,Psittaciformes,27.5,256,volant,nonfossorial,arboreal,diurnal
Calyptorhynchus_banksii,Aves,Psittaciformes,45.4,723.7,volant,nonfossorial,semiarboreal,diurnal
Calyptorhynchus_baudinii,Aves,Psittaciformes,47,620,volant,nonfossorial,arboreal,diurnal
Calyptorhynchus_funereus,Aves,Psittaciformes,41,678.5,volant,nonfossorial,arboreal,diurnal
Chalcopsitta_atra,Aves,Psittaciformes,17.5,260,volant,nonfossorial,arboreal,diurnal
Chalcopsitta_sintillata,Aves,Psittaciformes,19.7,190,volant,nonfossorial,arboreal,diurnal
Charmosyna_papou,Aves,Psittaciformes,11.3,83,volant,nonfossorial,arboreal,diurnal
Coracopsis_nigra,Aves,Psittaciformes,34.1,193.5,volant,nonfossorial,arboreal,diurnal
Cyanoliseus_patagonus,Aves,Psittaciformes,19.5,278,volant,semifossorial,semiarboreal,diurnal
Cyanopsitta_spixii,Aves,Psittaciformes,27,200,volant,nonfossorial,semiarboreal,diurnal
Cyanoramphus_auriceps,Aves,Psittaciformes,9.3,46,volant,nonfossorial,semiarboreal,diurnal
Cyanoramphus_novaezelandiae,Aves,Psittaciformes,12.4,92.6,volant,nonfossorial,semiarboreal,diurnal
Deroptyus_accipitrinus,Aves,Psittaciformes,21.8,246,volant,nonfossorial,arboreal,diurnal
Diopsittaca_nobilis,Aves,Psittaciformes,22.9,151,volant,nonfossorial,semiarboreal,diurnal
Eclectus_roratus,Aves,Psittaciformes,28.5,440,volant,nonfossorial,arboreal,diurnal
Enicognathus_leptorhynchus,Aves,Psittaciformes,15.3,193,volant,nonfossorial,semiarboreal,diurnal
Cacatua_roseicapilla,Aves,Psittaciformes,40,300,volant,nonfossorial,terrestrial,diurnal
Eunymphicus_cornutus,Aves,Psittaciformes,19.7,130,volant,nonfossorial,semiarboreal,diurnal
Forpus_coelestis,Aves,Psittaciformes,10.4,26.2,volant,nonfossorial,semiarboreal,diurnal
Forpus_cyanopygius,Aves,Psittaciformes,10.5,33.5,volant,nonfossorial,terrestrial,diurnal
Forpus_passerinus,Aves,Psittaciformes,11.6,24,volant,nonfossorial,semiarboreal,diurnal
Glossopsitta_concinna,Aves,Psittaciformes,11.5,70.8,volant,nonfossorial,arboreal,diurnal
Glossopsitta_porphyrocephala,Aves,Psittaciformes,12,44,volant,nonfossorial,arboreal,diurnal
Graydidascalus_brachyurus,Aves,Psittaciformes,13.2,159,volant,nonfossorial,arboreal,diurnal
Guaruba_guarouba,Aves,Psittaciformes,23.2,250,volant,nonfossorial,arboreal,diurnal
Loriculus_galgulus,Aves,Psittaciformes,14.3,28,volant,nonfossorial,arboreal,diurnal
Loriculus_vernalis,Aves,Psittaciformes,10.1,35.7,volant,nonfossorial,arboreal,diurnal
Lorius_domicella,Aves,Psittaciformes,26,182,volant,nonfossorial,arboreal,diurnal
Lorius_garrulus,Aves,Psittaciformes,26.6,143,volant,nonfossorial,arboreal,diurnal
Lorius_lory,Aves,Psittaciformes,18.5,177,volant,nonfossorial,semiarboreal,diurnal
Melopsittacus_undulatus,Aves,Psittaciformes,21,30,volant,nonfossorial,terrestrial,diurnal
Myiopsitta_monachus,Aves,Psittaciformes,22.1,81.7,volant,nonfossorial,semiarboreal,diurnal
Nandayus_nenday,Aves,Psittaciformes,18.7,128,volant,nonfossorial,semiarboreal,diurnal
Neophema_chrysostoma,Aves,Psittaciformes,21,46.1,volant,nonfossorial,terrestrial,diurnal
Neophema_pulchella,Aves,Psittaciformes,21,41.4,volant,nonfossorial,terrestrial,diurnal
Neophema_splendida,Aves,Psittaciformes,14,38.6,volant,nonfossorial,terrestrial,diurnal
Neopsephotus_bourkii,Aves,Psittaciformes,12.6,45,volant,nonfossorial,semiarboreal,diurnal
Nestor_notabilis,Aves,Psittaciformes,47,867.5,volant,semifossorial,semiarboreal,diurnal
Northiella_haematogaster,Aves,Psittaciformes,15.3,86.2,volant,nonfossorial,semiarboreal,diurnal
Nymphicus_hollandicus,Aves,Psittaciformes,35,90,volant,nonfossorial,terrestrial,diurnal
Pionites_leucogaster,Aves,Psittaciformes,26,155,volant,nonfossorial,arboreal,diurnal
Pionites_melanocephalus,Aves,Psittaciformes,22.6,149,volant,nonfossorial,arboreal,diurnal
Pionus_maximiliani,Aves,Psittaciformes,16.2,293,volant,nonfossorial,arboreal,diurnal
Pionus_menstruus,Aves,Psittaciformes,20.6,251,volant,nonfossorial,arboreal,diurnal
Platycercus_elegans,Aves,Psittaciformes,26.8,124.5,volant,nonfossorial,semiarboreal,diurnal
Platycercus_eximius,Aves,Psittaciformes,27.4,104,volant,nonfossorial,semiarboreal,diurnal
Poicephalus_cryptoxanthus,Aves,Psittaciformes,32.1,140,volant,nonfossorial,arboreal,diurnal
Poicephalus_gulielmi,Aves,Psittaciformes,21,275,volant,nonfossorial,arboreal,diurnal
Poicephalus_meyeri,Aves,Psittaciformes,34.2,117.5,volant,nonfossorial,arboreal,diurnal
Poicephalus_robustus,Aves,Psittaciformes,29.7,344,volant,nonfossorial,arboreal,diurnal
Poicephalus_rueppellii,Aves,Psittaciformes,34.3,116,volant,nonfossorial,arboreal,diurnal
Poicephalus_rufiventris,Aves,Psittaciformes,33.4,120,volant,nonfossorial,arboreal,diurnal
Poicephalus_senegalus,Aves,Psittaciformes,40,155,volant,nonfossorial,semiarboreal,diurnal
Polytelis_alexandrae,Aves,Psittaciformes,23.9,104,volant,nonfossorial,semiarboreal,diurnal
Polytelis_anthopeplus,Aves,Psittaciformes,13.8,170,volant,nonfossorial,semiarboreal,diurnal
Polytelis_swainsonii,Aves,Psittaciformes,15.1,153,volant,nonfossorial,semiarboreal,diurnal
Primolius_maracana,Aves,Psittaciformes,31,256,volant,nonfossorial,arboreal,diurnal
Probosciger_aterrimus,Aves,Psittaciformes,56.3,841,volant,nonfossorial,arboreal,diurnal
Psephotus_dissimilis,Aves,Psittaciformes,18,55,volant,nonfossorial,terrestrial,diurnal
Psephotus_haematonotus,Aves,Psittaciformes,12.2,61.4,volant,nonfossorial,semiarboreal,diurnal
Psephotus_varius,Aves,Psittaciformes,11.8,61.5,volant,nonfossorial,semiarboreal,diurnal
Pseudeos_fuscata,Aves,Psittaciformes,13.4,149,volant,nonfossorial,arboreal,diurnal
Psilopsiagon_aymara,Aves,Psittaciformes,8.5,30,volant,nonfossorial,semiarboreal,diurnal
Psittacula_alexandri,Aves,Psittaciformes,23.3,147,volant,nonfossorial,arboreal,diurnal
Psittacula_eupatria,Aves,Psittaciformes,30,255,volant,nonfossorial,arboreal,diurnal
Psittacula_krameri,Aves,Psittaciformes,34,128,volant,nonfossorial,arboreal,diurnal
Psittacus_erithacus,Aves,Psittaciformes,49.7,333,volant,nonfossorial,arboreal,diurnal
Psittrichas_fulgidus,Aves,Psittaciformes,25,865,volant,nonfossorial,arboreal,diurnal
Purpureicephalus_spurius,Aves,Psittaciformes,15.3,116,volant,nonfossorial,semiarboreal,diurnal
Pyrrhura_perlata,Aves,Psittaciformes,14.3,87,volant,nonfossorial,arboreal,diurnal
Rhynchopsitta_pachyrhyncha,Aves,Psittaciformes,33,360,volant,nonfossorial,semiarboreal,diurnal
Strigops_habroptila,Aves,Psittaciformes,60,1750,nonvolant,semifossorial,terrestrial,nocturnal
Tanygnathus_megalorynchos,Aves,Psittaciformes,23,325,volant,nonfossorial,semiarboreal,diurnal
Tanygnathus_sumatranus,Aves,Psittaciformes,14.4,270.5,volant,nonfossorial,arboreal,cathemeral
Trichoglossus_euteles,Aves,Psittaciformes,16,73.7,volant,nonfossorial,arboreal,diurnal
Trichoglossus_johnstoniae,Aves,Psittaciformes,17.8,55.2,volant,nonfossorial,arboreal,diurnal
Aptenodytes_patagonicus,Aves,Sphenisciformes,26,13036.8,nonvolant,nonfossorial,aquatic,cathemeral
Eudyptula_minor,Aves,Sphenisciformes,16,1105,nonvolant,nonfossorial,aquatic,diurnal
Spheniscus_demersus,Aves,Sphenisciformes,27.3,3135,nonvolant,nonfossorial,aquatic,diurnal
Spheniscus_magellanicus,Aves,Sphenisciformes,30,4000,nonvolant,nonfossorial,aquatic,diurnal
Caprimulgus_carolinensis,Aves,Strigiformes,14.8,115,volant,nonfossorial,volant,nocturnal
Caprimulgus_europaeus,Aves,Strigiformes,11.9,67,volant,nonfossorial,volant,nocturnal
Caprimulgus_ruficollis,Aves,Strigiformes,13.2,68.5,volant,nonfossorial,volant,nocturnal
Chordeiles_minor,Aves,Strigiformes,10,79.3,volant,nonfossorial,volant,nocturnal
Aegolius_acadicus,Aves,Strigiformes,17.5,117.9,volant,nonfossorial,terrestrial,nocturnal
Aegolius_funereus,Aves,Strigiformes,15.9,120,volant,nonfossorial,terrestrial,nocturnal
Asio_flammeus,Aves,Strigiformes,21.8,406,volant,nonfossorial,terrestrial,cathemeral
Asio_otus,Aves,Strigiformes,27.8,249.7,volant,nonfossorial,terrestrial,nocturnal
Athene_cunicularia,Aves,Strigiformes,11,150,volant,semifossorial,terrestrial,crepuscular
Athene_noctua,Aves,Strigiformes,11.1,169,volant,nonfossorial,terrestrial,nocturnal
Bubo_bubo,Aves,Strigiformes,68,2686,volant,nonfossorial,terrestrial,nocturnal
Bubo_scandiaca,Aves,Strigiformes,28,2042.5,volant,nonfossorial,terrestrial,diurnal
Bubo_virginianus,Aves,Strigiformes,29,1191.2,volant,nonfossorial,terrestrial,nocturnal
Glaucidium_passerinum,Aves,Strigiformes,6,65.5,volant,nonfossorial,terrestrial,crepuscular
Megascops_asio,Aves,Strigiformes,20.7,164.1,volant,nonfossorial,terrestrial,nocturnal
Megascops_kennicottii,Aves,Strigiformes,19,205,volant,nonfossorial,volant,nocturnal
Micrathene_whitneyi,Aves,Strigiformes,14,41,volant,nonfossorial,volant,crepuscular
Otus_flammeolus,Aves,Strigiformes,8.1,55.5,volant,nonfossorial,volant,nocturnal
Otus_scops,Aves,Strigiformes,6.8,92,volant,nonfossorial,terrestrial,nocturnal
Pulsatrix_perspicillata,Aves,Strigiformes,25,770,volant,nonfossorial,terrestrial,nocturnal
Strix_aluco,Aves,Strigiformes,22.4,520,volant,nonfossorial,terrestrial,nocturnal
Strix_nebulosa,Aves,Strigiformes,15.9,1120,volant,nonfossorial,terrestrial,nocturnal
Strix_occidentalis,Aves,Strigiformes,25,588.7,volant,nonfossorial,semiarboreal,nocturnal
Strix_uralensis,Aves,Strigiformes,23.8,784.5,volant,nonfossorial,terrestrial,nocturnal
Strix_varia,Aves,Strigiformes,24,715,volant,nonfossorial,terrestrial,nocturnal
Surnia_ulula,Aves,Strigiformes,16.2,320,volant,nonfossorial,terrestrial,cathemeral
Tyto_alba,Aves,Strigiformes,34,580,volant,nonfossorial,terrestrial,nocturnal
Apteryx_australis,Aves,Struthioniformes,35,2600,nonvolant,nonfossorial,terrestrial,nocturnal
Casuarius_unappendiculatus,Aves,Struthioniformes,22,47300,nonvolant,nonfossorial,terrestrial,diurnal
Dromaius_novaehollandiae,Aves,Struthioniformes,16.6,38925,nonvolant,nonfossorial,terrestrial,diurnal
Struthio_camelus,Aves,Struthioniformes,50,111000,nonvolant,nonfossorial,terrestrial,diurnal
Anhinga_melanogaster,Aves,Suliformes,16,1486.6,volant,nonfossorial,aquatic,diurnal
Fregata_andrewsi,Aves,Suliformes,25.6,1550,volant,nonfossorial,aquatic,diurnal
Fregata_ariel,Aves,Suliformes,27.6,806,volant,nonfossorial,aquatic,diurnal
Fregata_magnificens,Aves,Suliformes,34,1078,volant,nonfossorial,aquatic,diurnal
Fregata_minor,Aves,Suliformes,43,1400,volant,nonfossorial,aquatic,diurnal
Phalacrocorax_aristotelis,Aves,Suliformes,30.6,1773,volant,nonfossorial,aquatic,diurnal
Phalacrocorax_carbo,Aves,Suliformes,27.2,3628.8,volant,nonfossorial,aquatic,diurnal
Morus_bassanus,Aves,Suliformes,37.4,2950,volant,nonfossorial,aquatic,diurnal
Morus_serrator,Aves,Suliformes,33,2350,volant,nonfossorial,aquatic,diurnal
Sula_dactylatra,Aves,Suliformes,25.5,1739.2,volant,nonfossorial,aquatic,diurnal
Sula_leucogaster,Aves,Suliformes,27.2,1134,volant,nonfossorial,aquatic,diurnal
Sula_nebouxii,Aves,Suliformes,18,1530,volant,nonfossorial,aquatic,diurnal
Sula_sula,Aves,Suliformes,23,1017,volant,nonfossorial,aquatic,cathemeral
Upupa_epops,Aves,Upupiformes,11.1,67.1,volant,nonfossorial,terrestrial,diurnal
